username,date,content,video_title
@fabisinharamoliver4843,9 months ago,"Me, from Brazil!😘🇧🇷💚💛🇧🇷",Madonna - Like A Virgin (Official Video)
@AlexA-bn2wb,8 years ago,80s too,Madonna - Girl Gone Wild
@MoisesMarquezSalinas-qh6by,6 months ago,Me tooooo,Madonna - You'll See (Official Video)
@marcio.marosti,4 years ago,Congratulations Madonna 💙💙,Madonna - Papa Don't Preach (Official Video) [HD]
@Lena-d3r1g,6 days ago,Thanks,Madonna - La Isla Bonita (Official Video)
@misskittyfantastico,11 days ago,Me too ❤❤❤,Madonna - Music (Official Video)
@АнтонВасильевич-ъ8е,2 years ago,Я тебя смотрю 😍,Madonna Vs Sickick - Frozen (Fireboy DML Remix) [Official Music Video]
@meggiewillis9705,6 years ago,Me I sure am.,Madonna - Lucky Star (Official Video)
@mrmralloa8540,5 years ago,Great comment 👍,Madonna - Material Girl (Official Video) [HD]
@mafercastro791,6 years ago,Aca nene :U xd 😂🤗,"Madonna, Maluma - Medellín"
@vertbeke7977,3 years ago,Soo good ..,Madonna - 2012 Super Bowl Halftime Show
@bdiaz3546,5 years ago,My Mom is the blonde driving the car!,Madonna - True Blue (Official Video)
@Ekus.onuuyr,1 year ago,Real 😭,Madonna - Material Girl (Official Video) [HD]
@donaldmccorkle85,3 years ago,Lovelt,Madonna - Papa Don't Preach (Official Video) [HD]
@ХанларМаммадов,5 years ago,Масоны Covid 19 заранее предупредили,"Madonna, Quavo - Eurovision Song Contest 2019"
@icyhugs,4 years ago,"It was really a blessing to grow up in the 80s with these icons showering us with their talent and music! Some even spoke for us gays when we were either too young to have a voice or silenced by AIDS! 
We were recording music from the radios to cassettes with very obvious hints  of our affection to the people we had a crush on, or we just wrote to the DJs and dedicate songs in the radio XD (and hence Donna Summer's 'On The Radio') I don't think kids these days understand the joy of listening to our fav+ songs in the radio :)",Madonna - Dress You Up (Official Video)
@piinksp4rkles166,6 years ago,Yeeeep,"Madonna, Quavo - Eurovision Song Contest 2019"
@Belladaftasabrush,4 years ago,"One of the Greatest songs ever ,👌",Madonna - The Power Of Good-Bye (Official Video)
@FranciscoRojas154,1 year ago,Me :pride-unicorn-rainbow-mane:,Madonna - What It Feels Like For A Girl (Official Video) [HD]
@TURCAUGHT,6 years ago,It was only one of two videos from the 80s that cost over a million to produce.  The other one was Michael Jackson’s Thriller.,Madonna - Express Yourself (Official Video)
@bahamiangirl7,6 years ago, @yeshuavega3638  watching it again!! Love this video!,Madonna - What It Feels Like For A Girl (Official Video) [HD]
@karlgilmour2011,5 years ago (edited),"Who else is going through their classic jams!!!!! Not me, I prefer Marmalade 😆 And I wouldn't recommend going through any jams from the 80s. Tried that once and didn't get off the loo for a week 🤣",Madonna - Crazy For You (Official Video)
@luisguillermo5909,6 years ago, @karmakat77  mine too,Madonna - Rain (Official Video) [HD]
@JoePritchard-gb3vm,1 year ago,"ONE OF A KIND , AND WE LOVE HER FOR THAT !!!! ❤",Madonna - Like A Prayer (Choir Version) [Vinyl Visualizer]
@lavanyagomes5949,3 years ago,We know,Madonna - Back That Up To The Beat (Official Lyric Video)
@giftyzanesuag2855,11 years ago,I think she is the greatest!!                    ,Madonna - Girl Gone Wild
@gutspillage,6 years ago,Hi,Madonna feat. Gogol Bordello - La Isla Bonita (Live Earth 2007)
@TheTheolm,8 years ago,"If only we could... I think i can leave my actual life and back to the 80's. Since their early. I don't want to miss a single detail and experience the 80's again.
I could give my life for that.",Madonna - Into The Groove (Official Video)
@DaveOttou,1 year ago,2025 anyone ?,Madonna - Die Another Day (Official Video)
@raphaelsoares4161,4 months ago,💪🏻,Madonna - Live To Tell (Official Video)
@liquidmetaldream,4 years ago,Pure awesomeness ❤️,Madonna - What It Feels Like For A Girl (Official Video) [HD]
@christinablack6557,6 months ago," @GXris the blonde dancer wasn't, his name was Oscar and Madonna had a fling with him during the tour. The other dancers became angry because he was getting special treatment",Madonna - Vogue (Live at the MTV Awards 1990) [Official Video]
@VasileBodi-pe1sc,2 years ago,It's muzak iii,Madonna - Frozen (Official Video) [HD]
@beng.milligan5741,8 years ago,GyuieLog you r so right,Madonna - Girl Gone Wild (Official Video)
@amanmidde240,7 days ago,Yes,Madonna - La Isla Bonita (Official Video)
@erwinrolandoescobar6288,1 year ago,"x most years...!!
t prendes de esa verdadera música electrónica...realmente soberbia de rola...!!! 😊",Madonna  - Give It 2 Me feat. Pharrell (Official Video)
@landryspektor7377,6 years ago,"I'm obsessed with this song, the most successful song of 2000!!!!!!!",Madonna - Music (Official Video)
@lordusett4155,5 years ago,Greattttt songg,Madonna - Living For Love
@CryptoX-kr3wu,5 days ago (edited),That little boy’s name is Felix Howard. He later became a songwriter and music executive. He’s 53 years old now.,Madonna - Open Your Heart (Official Video) [HD]
@amandasoares401,7 years ago,conbii lunr,Madonna - Girl Gone Wild (Official Video)
@KaraMarie-pp1sg,2 years ago,YES JEALOUSY IS A DISEASE,Madonna - Material Girl (Official Video) [HD]
@РостиславКупчик,2 years ago,"Думаю, если он поет по-украински на фоне надписи ""fuck putin"" - то русским его не назвать",Madonna feat. Gogol Bordello - La Isla Bonita (Live Earth 2007)
@bellisperennis5538,5 years ago,I don't like Madonna... 🤣,"Madonna, Quavo - Eurovision Song Contest 2019"
@markmenez4097,10 years ago,George Medel it will be released i hope it will be a hit .,Madonna - Ghosttown
@RileyRemix,9 years ago,"Yes they did, what are you smoking ?",Madonna - Hung Up (Official Video) [HD]
@absolutelychampagne,4 years ago (edited),@no. I can totally understand what you mean and I agree with you but that has nothing to do with gay people,Madonna - Girl Gone Wild (Official Video)
@aleksandrchristopherfern,5 months ago,Here 🙋🏻‍♂️,Madonna - Open Your Heart (Official Video) [HD]
@NevenIcon,5 years ago,MERCI.....ils verront ....,Madonna - You'll See (Official Video)
@tracymckimo8300,5 years ago,Sorry pray for you,Madonna - Borderline (Official Video) [HD]
@takialucas-drakes3797,4 months ago,I agree 🎁,Madonna - Material Girl (Official Video) [HD]
@taishankm,6 months ago,❤💟💟❤️❤️,Madonna - Express Yourself (Official Video)
@PearlieCake,5 years ago,But... oh yeah true,Madonna - Material Girl (Official Video) [HD]
@saweetiepie5363,4 years ago,I love this comment because it’s so true!,Madonna - Dress You Up (Official Video)
@harveymia622,11 years ago,"Me couldn't agree anymore... I feel as though her spoiled, entitled, self absorbed children whom are sooo jaded are influencing her. before she came from despair and new york hardships.. hungry. I know this is a major mid life crisis, hence Miley Virus duo... Remember your core power for Fuck sake!!! MISS YOU MADONNA!!!!!!!!!!!!!!!!!!!! my ears matter and so does your creative spirit, but maybe nothing else really matters.... ha he blegh",Madonna - Nothing Really Matters (Official Video) [HD]
@danielhenriquez3383,5 years ago,im the like number 3000,Madonna - Material Girl (Official Video) [HD]
